date,category,amount,description
2024-03-01,Food,15.99,Starbucks coffee and sandwich
2024-03-01,Food,12.50,Coffee and bagel at local cafe
2024-03-01,Food,8.99,Morning coffee at Dunkin
2024-03-01,Transport,25.50,Uber ride to work
2024-03-01,Transport,22.00,Lyft to office
2024-03-01,Transport,2.50,Bus fare
2024-03-01,Food,45.75,Grocery shopping at Walmart
2024-03-01,Food,65.25,Whole Foods groceries
2024-03-01,Food,85.50,Costco bulk groceries
2024-03-02,Entertainment,12.99,Netflix monthly subscription
2024-03-02,Entertainment,14.99,Hulu subscription
2024-03-02,Entertainment,9.99,Spotify Premium
2024-03-02,Utilities,85.00,Electricity bill payment
2024-03-02,Utilities,45.00,Water bill
2024-03-02,Utilities,75.00,Internet service
2024-03-02,Health,35.00,Pharmacy - cold medicine
2024-03-02,Health,25.00,Vitamins at CVS
2024-03-02,Health,15.50,First aid supplies
2024-03-03,Shopping,89.99,New shoes from Nike
2024-03-03,Shopping,65.00,Clothes at H&M
2024-03-03,Shopping,120.00,Winter coat at Macy's
2024-03-03,Food,32.50,Pizza delivery from Dominos
2024-03-03,Food,28.75,Pizza Hut order
2024-03-03,Food,25.99,Papa John's pizza
2024-03-03,Transport,2.50,Bus ticket
2024-03-03,Transport,3.00,Metro fare
2024-03-03,Transport,2.75,Subway ticket
2024-03-04,Food,8.99,Subway sandwich
2024-03-04,Food,9.50,Jimmy John's sub
2024-03-04,Food,7.99,Quiznos sandwich
2024-03-04,Entertainment,25.00,Movie tickets - Avatar
2024-03-04,Entertainment,30.00,IMAX movie tickets
2024-03-04,Entertainment,15.00,Cinema matinee show
2024-03-04,Shopping,129.99,Winter jacket
2024-03-04,Shopping,89.99,Rain coat
2024-03-04,Shopping,149.99,Leather jacket
2024-03-05,Utilities,45.00,Water bill
2024-03-05,Utilities,95.00,Gas bill
2024-03-05,Utilities,110.00,Electric service
2024-03-05,Food,65.30,Restaurant dinner with friends
2024-03-05,Food,85.00,Steakhouse dinner
2024-03-05,Food,55.00,Italian restaurant
2024-03-05,Health,150.00,Dental checkup
2024-03-05,Health,200.00,Annual physical
2024-03-05,Health,75.00,Eye exam
2024-03-06,Transport,35.00,Taxi to airport
2024-03-06,Transport,45.00,Airport shuttle
2024-03-06,Transport,55.00,Premium cab service
2024-03-06,Food,12.50,Airport coffee and snacks
2024-03-06,Food,15.75,Airport cafe lunch
2024-03-06,Food,8.99,Airport vending machine
2024-03-06,Shopping,45.00,Books from Amazon
2024-03-06,Shopping,35.00,Kindle ebooks
2024-03-06,Shopping,25.00,Magazine subscription
2024-03-07,Entertainment,60.00,Concert tickets
2024-03-07,Entertainment,85.00,Theater show
2024-03-07,Entertainment,45.00,Comedy club
2024-03-07,Food,28.75,Chinese takeout
2024-03-07,Food,35.00,Thai food delivery
2024-03-07,Food,25.99,Vietnamese pho
